country_code,year,risk_score,economic_risk_score,political_risk_score,country
SOM,2013,75.7,2.8,100.0,Somalia
SSD,2013,56.1,5.8,81.3,South Sudan
SYR,2013,86.7,100.0,80.1,Syria
TUN,2013,42.8,44.5,41.3,Tunisia
TUR,2013,36.8,39.9,33.7,Turkey
YEM,2013,59.9,43.4,73.6,Yemen
AFG,2014,62.9,37.3,84.2,Afghanistan
ARE,2014,7.5,8.1,7.2,UAE
BGD,2014,48.9,32.9,62.2,Bangladesh
BHR,2014,33.2,31.9,34.6,Bahrain
BTN,2014,34.7,49.5,20.0,Bhutan
DJI,2014,41.9,24.8,56.1,Djibouti
DZA,2014,41.5,20.6,59.0,Algeria
EGY,2014,50.5,40.9,58.5,Egypt
ERI,2014,64.6,2.1,75.1,Eritrea
ETH,2014,44.5,31.9,57.1,Ethiopia
IND,2014,39.9,35.0,44.9,India
IRN,2014,58.9,52.7,62.0,Iran
IRQ,2014,54.9,27.4,77.7,Iraq
ISR,2014,18.9,27.0,12.1,Israel
JOR,2014,37.0,40.5,33.4,Jordan
KWT,2014,29.5,23.1,34.9,Kuwait
LBN,2014,47.5,33.8,58.9,Lebanon
LBY,2014,67.7,44.4,87.0,Libya
LKA,2014,40.7,39.7,41.6,Sri Lanka
MAR,2014,38.4,34.0,42.0,Morocco
MDV,2014,37.3,32.5,41.4,Maldives
NPL,2014,46.9,34.0,57.8,Nepal
OMN,2014,27.7,32.1,24.1,Oman
PAK,2014,54.1,36.3,68.9,Pakistan
PSE,2014,52.8,50.7,54.2,Palestine
QAT,2014,16.5,24.7,9.7,Qatar
SAU,2014,26.2,12.2,37.9,Saudi Arabia
SDN,2014,74.8,65.6,82.4,Sudan
SOM,2014,76.9,8.7,99.6,Somalia
SSD,2014,66.2,36.5,91.0,South Sudan
SYR,2014,77.3,63.5,84.2,Syria
TUN,2014,40.0,40.1,40.0,Tunisia
TUR,2014,36.8,37.3,36.4,Turkey
YEM,2014,62.0,40.2,80.2,Yemen
AFG,2015,65.6,42.7,84.7,Afghanistan
ARE,2015,7.8,7.6,7.9,UAE
BGD,2015,49.4,33.0,63.2,Bangladesh
BHR,2015,37.7,41.3,34.1,Bahrain
BTN,2015,35.4,52.1,18.8,Bhutan
DJI,2015,41.6,22.2,57.8,Djibouti
DZA,2015,50.1,40.3,58.3,Algeria
EGY,2015,51.7,43.0,59.0,Egypt
ERI,2015,66.8,0.2,77.9,Eritrea
ETH,2015,46.7,34.3,59.2,Ethiopia
IND,2015,38.8,35.2,42.3,India
IRN,2015,48.5,27.3,59.2,Iran
IRQ,2015,53.3,27.1,79.6,Iraq
ISR,2015,20.7,32.6,10.8,Israel
JOR,2015,38.1,43.1,33.0,Jordan
KWT,2015,35.4,34.7,36.1,Kuwait
LBN,2015,47.8,34.4,58.9,Lebanon
LBY,2015,64.3,31.9,91.3,Libya
LKA,2015,41.6,45.6,37.6,Sri Lanka
MAR,2015,41.1,39.8,42.2,Morocco
MDV,2015,42.0,37.7,45.5,Maldives
NPL,2015,47.2,30.8,60.9,Nepal
OMN,2015,31.0,37.7,25.5,Oman
PAK,2015,53.4,35.3,68.5,Pakistan
PSE,2015,54.4,51.1,56.7,Palestine
QAT,2015,19.5,29.8,10.9,Qatar
SAU,2015,32.4,24.9,38.6,Saudi Arabia
SDN,2015,66.9,48.3,82.4,Sudan
SOM,2015,76.1,9.4,98.3,Somalia
SSD,2015,82.7,71.4,92.2,South Sudan
SYR,2015,81.0,70.9,86.1,Syria
TUN,2015,43.5,45.9,41.4,Tunisia
TUR,2015,39.6,37.9,41.4,Turkey
YEM,2015,78.2,69.2,84.3,Yemen
AFG,2016,64.7,39.3,85.8,Afghanistan
ARE,2016,10.2,11.9,9.4,UAE
BGD,2016,46.1,25.9,62.9,Bangladesh
BHR,2016,38.1,39.0,37.3,Bahrain
BTN,2016,35.2,51.9,18.5,Bhutan
DJI,2016,45.1,28.3,59.1,Djibouti
DZA,2016,48.3,34.6,59.6,Algeria
EGY,2016,47.7,34.7,58.6,Egypt
ERI,2016,66.7,0.1,77.8,Eritrea
ETH,2016,44.0,28.1,59.8,Ethiopia
IND,2016,33.9,26.0,41.8,India
IRN,2016,41.2,8.1,57.7,Iran
IRQ,2016,47.3,15.2,79.4,Iraq
ISR,2016,15.8,24.8,8.3,Israel
JOR,2016,37.1,40.1,34.0,Jordan
KWT,2016,34.5,29.3,38.9,Kuwait
LBN,2016,51.3,41.2,59.7,Lebanon
LBY,2016,60.2,23.1,91.1,Libya
LKA,2016,35.5,30.7,39.5,Sri Lanka
MAR,2016,38.9,34.5,42.6,Morocco
MDV,2016,45.2,44.1,46.1,Maldives
NPL,2016,46.8,31.9,59.3,Nepal
OMN,2016,32.6,39.1,27.2,Oman
PAK,2016,49.8,29.0,67.3,Pakistan
PSE,2016,51.1,44.7,55.4,Palestine
QAT,2016,22.5,33.8,13.0,Qatar
SAU,2016,32.2,26.4,37.0,Saudi Arabia
SDN,2016,62.4,38.8,82.1,Sudan
SOM,2016,77.0,14.8,97.7,Somalia
SSD,2016,89.0,82.5,93.3,South Sudan
SYR,2016,72.2,36.0,90.3,Syria
TUN,2016,41.4,38.4,43.9,Tunisia
TUR,2016,37.1,27.0,47.2,Turkey
YEM,2016,76.0,59.3,87.1,Yemen
AFG,2017,70.0,50.8,86.1,Afghanistan
ARE,2017,18.0,31.7,11.1,UAE
BGD,2017,52.5,40.0,62.9,Bangladesh
BHR,2017,43.6,48.3,38.8,Bahrain
BTN,2017,38.3,60.5,16.1,Bhutan
DJI,2017,52.4,43.3,59.9,Djibouti
DZA,2017,52.3,44.4,58.9,Algeria
EGY,2017,56.2,55.0,57.3,Egypt
ERI,2017,66.8,3.0,77.5,Eritrea
ETH,2017,49.5,37.9,61.0,Ethiopia
IND,2017,38.5,36.3,40.7,India
IRN,2017,49.0,30.8,58.2,Iran
IRQ,2017,55.2,31.2,79.2,Iraq
ISR,2017,22.2,34.2,12.2,Israel
JOR,2017,41.5,48.4,34.7,Jordan
KWT,2017,39.6,39.8,39.5,Kuwait
LBN,2017,55.7,51.8,59.0,Lebanon
LBY,2017,50.5,4.8,88.5,Libya
LKA,2017,41.6,42.0,41.2,Sri Lanka
MAR,2017,42.9,40.8,44.6,Morocco
MDV,2017,51.1,53.2,49.3,Maldives
NPL,2017,47.7,37.9,56.0,Nepal
OMN,2017,38.4,50.7,28.1,Oman
PAK,2017,55.5,43.8,65.3,Pakistan
PSE,2017,56.7,62.9,52.6,Palestine
QAT,2017,28.0,41.0,17.2,Qatar
SAU,2017,36.6,32.3,40.2,Saudi Arabia
SDN,2017,68.4,54.8,79.7,Sudan
SOM,2017,78.4,25.8,95.9,Somalia
SSD,2017,86.0,75.0,93.3,South Sudan
SYR,2017,71.0,35.8,88.5,Syria
TUN,2017,45.4,50.0,41.5,Tunisia
TUR,2017,42.0,37.0,47.1,Turkey
YEM,2017,78.6,51.9,87.5,Yemen
AFG,2018,68.4,46.7,86.4,Afghanistan
ARE,2018,13.8,23.1,9.1,UAE
BGD,2018,47.8,31.8,61.2,Bangladesh
BHR,2018,43.5,49.6,37.4,Bahrain
BTN,2018,33.6,53.1,14.0,Bhutan
DJI,2018,44.4,28.6,57.5,Djibouti
DZA,2018,48.8,40.0,56.1,Algeria
EGY,2018,47.5,37.1,56.1,Egypt
ERI,2018,69.4,8.3,79.6,Eritrea
ETH,2018,45.5,33.0,57.9,Ethiopia
