country_code,country,debt_to_gdp,current_account_pct_gdp,reserves_months_imports,gdp_growth,inflation,currency_depreciation_pct,political_stability,government_effectiveness,rule_of_law,regulatory_quality,control_of_corruption
DZA,Algeria,22.195459087079293,46.691527954545364,47.91148490704546,39.54535729927443,5.515134230852782,3.500479699207388,49.88705086199911,44.020977205916154,49.63900617952415,59.421558912176444,58.40139837600652
BHR,Bahrain,42.45793073957977,35.16423469054749,96.04500174726523,40.92821257550819,4.445012396572625,4.811924956521242,39.7103486328311,19.217872648888008,20.773971205081818,5.551082580097169,34.44123484574324
EGY,Egypt,32.94578829870551,52.189419168457086,86.6705334103107,37.159819402769884,14.2182447250009,11.041702069738356,56.81415216009318,39.530969918012985,51.467039884053065,51.41235953190083,65.00578745589434
IRN,Iran,13.72667456425144,,,67.02930258017685,33.54138567718795,4.811924956521242,71.51115626716155,57.273433982020215,67.59878547903789,83.42304258114112,74.06012790645048
IRQ,Iraq,9.913110655834934,38.78936402044361,64.85925664210998,64.25575643301627,4.74840600432804,4.127780172053605,83.28035315011448,68.80221630559532,71.71667235089465,68.2128258278612,75.69365783045328
ISR,Israel,26.29450547712382,41.92883720978795,54.23837998981247,43.205160301343724,6.631333704020335,0.0,58.265617529105675,2.5443136731235945,6.3607095478773825,0.37457105279600084,17.498640075092737
JOR,Jordan,35.505973568016834,55.17792478496724,75.73408905958495,43.6377733822632,5.754536089332793,4.811924956521242,41.52051436709039,30.405235148632386,20.754069452709487,26.88026332751518,33.928726929340456
KWT,Kuwait,7.926137219848803,0.0,73.78320719758248,44.03000309009505,6.164064944357718,4.756677332799757,25.828536084937593,27.15178268730025,18.674653449303822,22.846743164722845,35.45116144938026
LBN,Lebanon,53.20899875515206,100.0,57.227386177942904,84.63289248969471,14.578662496350885,4.811924956521242,66.84555924148424,69.6247257131894,62.61003838114032,65.94567209175968,78.49603331674659
LBY,Libya,,36.34217089271142,0.0,0.0,5.806253262061299,11.804232351034091,79.19234812833372,78.05420326275942,83.0612453563273,90.62797317058316,84.92701642088122
MAR,Morocco,19.112017786891126,49.596168416139285,81.67842134396734,36.318800595080546,5.022423203945005,0.5340320514845277,43.72852116050768,31.566251316195082,38.65753834283562,36.45596722008995,56.28930493983534
OMN,Oman,11.947843111967964,39.04040057826329,88.8137417794529,45.41196451010292,5.205244487245015,4.811924956521242,17.708549905261783,20.17169423619437,11.379856722738179,13.862418965654962,27.28302553605356
PSE,Palestine,,75.8230641304104,93.07736441408319,37.35667361032136,11.285074468170055,,78.70205648704255,68.70625998197745,59.40695114600475,50.40495146836567,57.7637604044151
QAT,Qatar,16.046889502012498,15.523404008964675,76.81864516722558,43.32719302877106,5.4112838910421495,4.811924956521242,9.816603459943787,3.6615960129244507,6.6986821615038865,5.041981662927177,20.283226273409934
SAU,Saudi Arabia,11.715821618191859,49.72525514290304,50.88456431162483,36.70273442858892,5.973052285407612,4.811924956521242,34.16311393284454,13.885535466872959,19.358029287221175,13.142972383669205,20.33982289876052
SYR,Syria,10.90374638997549,45.85678338956984,63.42016314581532,56.172728607613486,13.767140991300622,76.28949044354106,90.68154994029496,85.42890990994613,86.91819962512469,98.80137263105281,89.7342915950418
TUN,Tunisia,15.745166547695444,47.647241595447234,86.18379480420624,45.01785734156951,8.08212381313461,4.841604146210609,55.52036049392797,43.6759393567687,38.547067260479054,47.95303507580078,47.84881649778338
ARE,UAE,0.0,16.176704311118243,83.99557906593505,38.81592318281147,5.399951866109591,4.811924956521242,13.775616677882319,0.0,9.794709852512392,0.0,8.538991111010583
YEM,Yemen,,59.88305497411759,96.67380282266429,52.22107388817763,10.113436001941695,20.281521590124694,100.0,91.25941888221168,89.85684925217012,85.72524127415213,87.87539299285234
AFG,Afghanistan,2.3962916181849554,75.61977648416163,47.58119260674455,47.58320160699886,0.0,3.957704113845644,86.71387343917773,93.04216735680062,90.98843511906853,84.2797585953546,78.62563331222293
BGD,Bangladesh,15.466835767572231,44.782060420492556,88.09969763429494,40.892909633136085,10.570102388371689,8.7373727303543,68.63060242902259,54.73473669602276,58.42762937382484,65.66701438510383,72.78555030308515
BTN,Bhutan,42.2296968506649,82.87060126164543,79.48738350023203,22.208420229874836,6.984627608332296,7.807588314351498,0.0,19.783496432865913,0.0,38.49984933958541,0.0
IND,India,17.293037758947655,45.49933333904574,75.46951159573729,24.022465547739472,6.189434770945632,7.807588314351498,52.132641589499016,24.917206355443085,27.689379510962336,38.65091467875324,49.97441588256582
MDV,Maldives,21.459997592062283,81.44754535388937,96.40571340712425,29.218967372924393,7.2945439881588525,4.935536587765028,34.31623916839887,43.149842936335716,24.89946560690447,43.05703821396626,51.12279188907986
NPL,Nepal,14.740712376671757,37.044977591393916,59.238500966692975,36.99958291332756,6.364452841271634,7.706673849521183,43.09054441620943,62.470520521981435,36.51614049809323,53.084701205995074,59.5098870216231
PAK,Pakistan,26.41051622401187,44.89528057496217,88.59536934111874,40.030011466457495,6.978036242413775,5.4726392530437575,83.2597644532238,54.1915289384638,60.33156813491105,60.69193069146408,71.7526519949335
LKA,Sri Lanka,27.730200018345304,42.295968272797424,91.4314113451775,34.83653557422704,1.2635511626320421,5.897105352187724,41.52377162513591,44.700597918009954,34.98370890352393,45.077317659377734,52.502991269338615
TUR,Turkey,9.59639595157709,46.18663268736628,85.49197053629155,40.41818140044115,28.52792080677299,19.371176463186778,56.63842589021688,38.76359315707316,54.5339192856092,42.294223576891774,57.548126074368966
SDN,Sudan,64.69406269706927,61.60544434287433,99.96399400246341,42.654242175631865,100.0,38.90317919739926,82.30736363965477,88.96211845927559,85.57482132569237,88.21114286008037,85.65748269700535
SSD,South Sudan,21.46072435678829,29.067400741716988,100.0,100.0,67.42469326750697,100.0,69.28096990961097,100.0,92.22492411747561,96.65157109945723,100.0
ETH,Ethiopia,11.464018190966828,49.66247158449829,94.88520489773113,14.898319898534131,13.63790469611835,41.650361465304854,78.91211186919956,55.52174168126549,61.39402528831053,61.971036820456284,54.004065638288225
SOM,Somalia,4.199384475098819,,,42.956891315192905,8.597218956739106,4.924693785500063,88.12365223944164,93.5098801513089,100.0,90.26411363828657,92.12296718085588
DJI,Djibouti,10.749065394124752,15.753723934015621,97.84940798346304,28.45531271792388,4.323959255278393,4.811924956521242,46.543820206762064,51.066306635277826,60.10800556167488,62.58974892303504,66.81016183389127
