country_code,country,debt_to_gdp,debt_to_gdp_year,current_account_pct_gdp,current_account_pct_gdp_year,reserves_months_imports,reserves_months_imports_year,gdp_growth,gdp_growth_year,inflation,inflation_year,political_stability,political_stability_year,government_effectiveness,government_effectiveness_year,rule_of_law,rule_of_law_year,regulatory_quality,regulatory_quality_year,control_of_corruption,control_of_corruption_year,fdi_net_inflows_pct_gdp,fdi_net_inflows_pct_gdp_year,exports_pct_gdp,exports_pct_gdp_year,imports_pct_gdp,imports_pct_gdp_year,gdp_current_usd,gdp_current_usd_year,gdp_per_capita_usd,gdp_per_capita_usd_year,total_reserves_usd,total_reserves_usd_year,debt_to_gdp_source,gdp_growth_source,inflation_source,risk_score,risk_score_factors_used,risk_tier,risk_rank,yoy_change,yoy_latest_year,yoy_prior_year
NPL,Nepal,39.9222686422289,2021.0,3.87803253239857,2024.0,12.9718425174618,2024.0,4.43073194983359,2025,2.65334269811436,2025,-0.414613399999999,2024,-0.8845295,2024,-0.303653399999999,2024,-0.552333499999999,2024,-0.632602,2024,0.131412557108071,2024,8.82763359925247,2025.0,33.7244112435844,2025.0,45489810283.1132,2025,1535.87781246307,2025,21100332321.6852,2025.0,World Bank WDI,World Bank WDI,World Bank WDI,45.9,10,Moderate Risk,15.0,-6.5,2024,2023
MAR,Morocco,51.2263215704569,2011.0,-2.49808221535456,2025.0,5.92686959641173,2025.0,4.59524349182247,2025,0.701902154839545,2025,-0.4408003,2024,0.1763559,2024,-0.3678036,2024,-0.0266854999999999,2024,-0.5186913,2024,1.81954513887835,2025,41.9692139163022,2025.0,51.1324428826402,2025.0,182374250612.28,2025,4672.46826171875,2025,48453629604.878,2025.0,World Bank WDI,World Bank WDI,World Bank WDI,44.8,10,Moderate Risk,16.0,-2.9,2024,2023
JOR,Jordan,93.6205554347008,2023.0,-5.33366328480029,2024.0,7.79308209953668,2024.0,2.82660839845745,2025,1.76646490894206,2025,-0.3501687,2024,0.2162114,2024,0.1685335,2024,0.2760104,2024,0.2721934,2024,2.78862682935517,2024,,,,,61610052535.2113,2025,5347.77731384797,2025,26557371377.9991,2025.0,World Bank WDI,World Bank WDI,World Bank WDI,43.1,10,Moderate Risk,17.0,-1.3,2024,2023
IND,India,46.5224986659322,2018.0,-0.416854153498652,2025.0,7.8761457217327,2025.0,7.56666179284244,2025,2.39884954182294,2025,-0.785762499999999,2024,0.4046051,2024,-0.0392287,2024,-0.0960695999999999,2024,-0.2953362,2024,0.988285383995246,2025,22.2630410669804,2025.0,24.0051596190103,2025.0,3956067115771.63,2025,2702.47987141553,2025,700073798240.701,2025.0,World Bank WDI,World Bank WDI,World Bank WDI,40.7,10,Moderate Risk,18.0,-1.5,2024,2023
BHR,Bahrain,111.598089477141,2020.0,4.83346638041053,2024.0,1.41650733987614,2024.0,3.48137573668635,2025,-0.137708855447902,2025,-0.2758672,2024,0.6002525,2024,0.1679373,2024,0.9502434,2024,0.2540662,2024,5.72467195311559,2024,87.4874315086406,2024.0,69.9934379215464,2024.0,48965725531.9149,2025,30596.5794898885,2025,5269794300.5237,2025.0,World Bank WDI,World Bank WDI,World Bank WDI,40.3,10,Moderate Risk,19.0,0.2,2024,2023
BTN,Bhutan,111.007884099526,2020.0,-19.4017852146799,2024.0,6.61474201389783,2024.0,8.00502716233098,2025,3.55513663074987,2025,1.3541153,2024,0.5808357,2024,0.7902665,2024,-0.0912943,2024,1.4722389,2024,0.0841982308924301,2024,31.4948602422141,2024.0,47.8676815531182,2024.0,3579320145.13077,2025,4492.78400306618,2025,1191252357.26907,2025.0,World Bank WDI,World Bank WDI,World Bank WDI,35.2,10,Moderate Risk,20.0,-6.8,2024,2023
OMN,Oman,32.7,2026.0,2.86434019736537,2024.0,3.68674849054903,2024.0,2.39787382295398,2025,0.967741935483928,2025,0.6272361,2024,0.5675096,2024,0.4493583,2024,0.6875152,2024,0.5072492,2024,11.6351181598926,2024,66.072566156431,2024.0,48.7801054403878,2024.0,109604780696.23,2025,19947.3966227092,2025,18286526117.9972,2024.0,IMF WEO (fallback),World Bank WDI,World Bank WDI,31.9,10,Lower Risk,21.0,-4.2,2024,2023
ISR,Israel,69.8,2026.0,1.39698911798375,2025.0,14.5416215671135,2025.0,2.93114966387968,2025,3.0414132155654,2025,-1.03750149999999,2024,1.1726244,2024,0.5997177,2024,1.1138772,2024,0.853319,2024,4.29339412127743,2025,27.5583636636004,2025.0,25.4308527107197,2025.0,610777842873.595,2025,60336.8477964194,2025,229486904238.885,2025.0,IMF WEO (fallback),World Bank WDI,World Bank WDI,30.6,10,Lower Risk,22.0,-4.1,2024,2023
KWT,Kuwait,22.3,2026.0,22.6972052506544,2025.0,8.4055579755159,2025.0,2.731825804492,2025,2.36195936682045,2025,0.2939367,2024,0.3278963,2024,0.2308269,2024,0.4035133,2024,0.2183455,2024,0.262764598716339,2025,55.7559768271522,2024.0,38.2349394412597,2024.0,157209026926.418,2025,32312.3119953634,2025,51737963291.5741,2025.0,IMF WEO (fallback),World Bank WDI,World Bank WDI,30.0,10,Lower Risk,23.0,-5.2,2024,2023
SAU,Saudi Arabia,32.1,2026.0,-2.56365940191401,2025.0,15.5945460088131,2025.0,4.50246560191663,2025,2.08420853585036,2025,-0.048171,2024,0.7833016,2024,0.2103549,2024,0.7102575,2024,0.7528275,2024,2.55517254024168,2025,29.7448740074211,2025.0,28.1733498505598,2025.0,1276942933333.33,2025,34536.6555456551,2025,505163993094.995,2025.0,IMF WEO (fallback),World Bank WDI,World Bank WDI,29.2,10,Lower Risk,24.0,-8.2,2024,2023
QAT,Qatar,43.3,2026.0,14.8111802018003,2025.0,7.45258764673881,2025.0,2.90166036660493,2025,1.26734310292375,2024,0.9511752,2024,1.1342702,2024,0.589593,2024,0.9663365,2024,0.7548293,2024,1.40702006150615,2025,68.5984131738821,2022.0,31.6152340257357,2022.0,215559615384.615,2025,72524.9066385222,2025,55847316824.2018,2025.0,IMF WEO (fallback),World Bank WDI,World Bank WDI,24.1,10,Lower Risk,25.0,-4.7,2024,2023
ARE,UAE,1.80326819075483,2013.0,14.4792979326645,2024.0,5.19940206842546,2024.0,3.99181200361831,2024,1.250865245598,2025,0.7886704,2024,1.2599659,2024,0.4968448,2024,1.1257177,2024,1.1702182,2024,8.26261604873876,2024,106.846123390953,2023.0,92.1988267361531,2023.0,552324919095.872,2024,50273.5126243239,2024,292319262021.321,2025.0,World Bank WDI,World Bank WDI,World Bank WDI,19.9,10,Lower Risk,26.0,-2.9,2024,2023
