Data As Of,Country Code,Country,Debt To GDP (%),Debt To GDP (%) — As Of Year,Current Account (% GDP),Current Account (% GDP) — As Of Year,Reserves (Months Of Imports),Reserves (Months Of Imports) — As Of Year,GDP Growth (%),GDP Growth (%) — As Of Year,Inflation (%),Inflation (%) — As Of Year,Political Stability (WGI),Political Stability (WGI) — As Of Year,Government Effectiveness (WGI),Government Effectiveness (WGI) — As Of Year,Rule Of Law (WGI),Rule Of Law (WGI) — As Of Year,Regulatory Quality (WGI),Regulatory Quality (WGI) — As Of Year,Control Of Corruption (WGI),Control Of Corruption (WGI) — As Of Year,FDI Net Inflows (% GDP),FDI Net Inflows (% GDP) — As Of Year,Exports (% GDP),Exports (% GDP) — As Of Year,Imports (% GDP),Imports (% GDP) — As Of Year,Debt To GDP (%) — Source,Composite Risk Score,Factors Used,Risk Tier,Regional Rank,YoY Change,YoY Latest Year,YoY Prior Year
2026-08-28,TUN,Tunisia,42.5197543010178,2012.0,-1.50801033952852,2024.0,4.51241564590908,2024.0,2.49311010666248,2025,5.15100197572676,2025,-0.9248175,2024,-0.2393469,2024,-0.3644942,2024,-0.3901173,2024,-0.220154599999999,2024,1.47747574805229,2024,46.6517326028796,2025.0,54.7944728488274,2025.0,World Bank WDI,49.0,10,Moderate Risk,11.0,-1.2,2024,2023
2026-08-28,MDV,Maldives,57.2981206101706,2011.0,-18.6788603634035,2024.0,1.30326255855386,2024.0,6.31092335003081,2025,4.00578494118752,2025,-0.0544563,2024,-0.221286999999999,2024,0.0443492,2024,-0.2353508,2024,-0.335953799999999,2024,11.416720004027,2024,78.214216540835,2024.0,78.2597392001761,2024.0,World Bank WDI,48.6,10,Moderate Risk,12.0,2.4,2024,2023
2026-08-28,DZA,Algeria,59.2,2026.0,-1.0224994485325,2024.0,16.5279389774711,2024.0,3.815543719231,2025,1.41835151429016,2025,-0.6935882,2024,-0.2511914,2024,-0.6967772,2024,-0.7526468,2024,-0.5933952,2024,0.455370730483787,2024,16.8347751595565,2025.0,22.1441688566065,2025.0,IMF WEO (fallback),47.8,10,Moderate Risk,13.0,-5.1,2024,2023
2026-08-28,LKA,Sri Lanka,73.5126591623625,2015.0,1.21048332599166,2024.0,2.86493580597895,2024.0,4.9534339114043,2025,-4.76386036960983,2025,-0.350302399999999,2024,-0.2745215,2024,-0.2577461,2024,-0.299213499999999,2024,-0.384770899999999,2024,0.764077754153862,2024,18.9673796128721,2025.0,22.8416230396327,2025.0,World Bank WDI,46.6,10,Moderate Risk,14.0,-9.4,2024,2023
2026-08-28,NPL,Nepal,39.9222686422289,2021.0,3.87803253239857,2024.0,12.9718425174618,2024.0,4.43073194983359,2025,2.65334269811436,2025,-0.414613399999999,2024,-0.8845295,2024,-0.303653399999999,2024,-0.552333499999999,2024,-0.632602,2024,0.131412557108071,2024,8.82763359925247,2025.0,33.7244112435844,2025.0,World Bank WDI,45.9,10,Moderate Risk,15.0,-6.5,2024,2023
2026-08-28,MAR,Morocco,51.2263215704569,2011.0,-2.49808221535456,2025.0,5.92686959641173,2025.0,4.59524349182247,2025,0.701902154839545,2025,-0.4408003,2024,0.1763559,2024,-0.3678036,2024,-0.0266854999999999,2024,-0.5186913,2024,1.81954513887835,2025,41.9692139163022,2025.0,51.1324428826402,2025.0,World Bank WDI,44.8,10,Moderate Risk,16.0,-2.9,2024,2023
2026-08-28,JOR,Jordan,93.6205554347008,2023.0,-5.33366328480029,2024.0,7.79308209953668,2024.0,2.82660839845745,2025,1.76646490894206,2025,-0.3501687,2024,0.2162114,2024,0.1685335,2024,0.2760104,2024,0.2721934,2024,2.78862682935517,2024,,,,,World Bank WDI,43.1,10,Moderate Risk,17.0,-1.3,2024,2023
2026-08-28,IND,India,46.5224986659322,2018.0,-0.416854153498652,2025.0,7.8761457217327,2025.0,7.56666179284244,2025,2.39884954182294,2025,-0.785762499999999,2024,0.4046051,2024,-0.0392287,2024,-0.0960695999999999,2024,-0.2953362,2024,0.988285383995246,2025,22.2630410669804,2025.0,24.0051596190103,2025.0,World Bank WDI,40.7,10,Moderate Risk,18.0,-1.5,2024,2023
2026-08-28,BHR,Bahrain,111.598089477141,2020.0,4.83346638041053,2024.0,1.41650733987614,2024.0,3.48137573668635,2025,-0.137708855447902,2025,-0.2758672,2024,0.6002525,2024,0.1679373,2024,0.9502434,2024,0.2540662,2024,5.72467195311559,2024,87.4874315086406,2024.0,69.9934379215464,2024.0,World Bank WDI,40.3,10,Moderate Risk,19.0,0.2,2024,2023
2026-08-28,BTN,Bhutan,111.007884099526,2020.0,-19.4017852146799,2024.0,6.61474201389783,2024.0,8.00502716233098,2025,3.55513663074987,2025,1.3541153,2024,0.5808357,2024,0.7902665,2024,-0.0912943,2024,1.4722389,2024,0.0841982308924301,2024,31.4948602422141,2024.0,47.8676815531182,2024.0,World Bank WDI,35.2,10,Moderate Risk,20.0,-6.8,2024,2023
2026-08-28,OMN,Oman,32.7,2026.0,2.86434019736537,2024.0,3.68674849054903,2024.0,2.39787382295398,2025,0.967741935483928,2025,0.6272361,2024,0.5675096,2024,0.4493583,2024,0.6875152,2024,0.5072492,2024,11.6351181598926,2024,66.072566156431,2024.0,48.7801054403878,2024.0,IMF WEO (fallback),31.9,10,Lower Risk,21.0,-4.2,2024,2023
2026-08-28,ISR,Israel,69.8,2026.0,1.39698911798375,2025.0,14.5416215671135,2025.0,2.93114966387968,2025,3.0414132155654,2025,-1.03750149999999,2024,1.1726244,2024,0.5997177,2024,1.1138772,2024,0.853319,2024,4.29339412127743,2025,27.5583636636004,2025.0,25.4308527107197,2025.0,IMF WEO (fallback),30.6,10,Lower Risk,22.0,-4.1,2024,2023
2026-08-28,KWT,Kuwait,22.3,2026.0,22.6972052506544,2025.0,8.4055579755159,2025.0,2.731825804492,2025,2.36195936682045,2025,0.2939367,2024,0.3278963,2024,0.2308269,2024,0.4035133,2024,0.2183455,2024,0.262764598716339,2025,55.7559768271522,2024.0,38.2349394412597,2024.0,IMF WEO (fallback),30.0,10,Lower Risk,23.0,-5.2,2024,2023
2026-08-28,SAU,Saudi Arabia,32.1,2026.0,-2.56365940191401,2025.0,15.5945460088131,2025.0,4.50246560191663,2025,2.08420853585036,2025,-0.048171,2024,0.7833016,2024,0.2103549,2024,0.7102575,2024,0.7528275,2024,2.55517254024168,2025,29.7448740074211,2025.0,28.1733498505598,2025.0,IMF WEO (fallback),29.2,10,Lower Risk,24.0,-8.2,2024,2023
2026-08-28,QAT,Qatar,43.3,2026.0,14.8111802018003,2025.0,7.45258764673881,2025.0,2.90166036660493,2025,1.26734310292375,2024,0.9511752,2024,1.1342702,2024,0.589593,2024,0.9663365,2024,0.7548293,2024,1.40702006150615,2025,68.5984131738821,2022.0,31.6152340257357,2022.0,IMF WEO (fallback),24.1,10,Lower Risk,25.0,-4.7,2024,2023
2026-08-28,ARE,UAE,1.80326819075483,2013.0,14.4792979326645,2024.0,5.19940206842546,2024.0,3.99181200361831,2024,1.250865245598,2025,0.7886704,2024,1.2599659,2024,0.4968448,2024,1.1257177,2024,1.1702182,2024,8.26261604873876,2024,106.846123390953,2023.0,92.1988267361531,2023.0,World Bank WDI,19.9,10,Lower Risk,26.0,-2.9,2024,2023
